"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DIGIKEY";"DIGIKEY_COST";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"1";".1";"R-US_R1206";"R1206";"R5";"RESISTOR, American symbol";"";"A103268CT-ND";".13";"";"";"";"";"";"";
"4";".1u";"C-USC0603";"C0603";"C2, C4, C5, C6";"CAPACITOR, American symbol";"";"445-1316-1-ND";".10";"";"";"";"";"";"";
"1";"10k";"R-US_R0603";"R0603";"R1";"RESISTOR, American symbol";"";"RMCF0603FT10K0CT-ND";".04";"";"";"";"";"";"";
"1";"10n";"C-USC0603";"C0603";"C1";"CAPACITOR, American symbol";"";"445-1311-1-ND";".10";"";"";"";"";"";"";
"1";"10u";"C-USC0805";"C0805";"C3";"CAPACITOR, American symbol";"";"445-7534-1-ND";".10";"";"";"";"";"";"";
"3";"1k";"R-US_R0603";"R0603";"R2, R7, R8";"RESISTOR, American symbol";"";"RMCF0603FT1K00CT-ND";".04";"";"";"";"";"";"";
"1";"28.7K";"R-US_R0603";"R0603";"R9";"RESISTOR, American symbol";"";"RMCF0603FT28R7CT-ND";".04";"";"";"";"";"";"";
"1";"3.3k";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"";"RMCF0603FT3K30CT-ND";".04";"";"";"";"";"";"";
"2";"3.9k";"R-US_R0603";"R0603";"R3, R4";"RESISTOR, American symbol";"";"RMCF0603FT10K0CT-ND";".04";"";"";"";"";"";"";
"1";"ATTINY5-TSHR";"ATTINY5-TSHR";"SOT95P280X145-6N";"U2";"Microcontroller";"Microcontroller";"ATTINY10-TSHRCT-ND";".69";"";"ATTINY5-TSHR";"1841626";"12T1342";"SOT563-6";"ATMEL";
"1";"BC846";"BC846";"SOT23";"Q2";"NPN TRANSISTOR";"";"BC846BMTFCT-ND";".17";"";"";"";"";"";"";
"1";"DIODES";"MPT2";"2POL254";"X1";"PHOENIX CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";
"1";"DIODE_0603";"DIODE_0603";"D0603";"D1";"";"";"641-1002-1-ND";".23";"";"";"";"";"";"";
"1";"INPUT";"MPT3";"3POL254";"X2";"PHOENIX CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";
"1";"MCP6L2-X_SN";"MCP6L2-X_SN";"SOIC8-N_MC";"U3";"";"";"MCP6L2T-E/SNCT-ND";".64";"";"";"";"";"";"";
"1";"SI2301CDS";"SI2301CDS";"SOT-23_POWER";"Q1";"";"";"568-6956-1-ND";".69";"";"";"";"";"";"";
"1";"SPX5205M5-L-3-3";"SPX5205M5-L-3-3";"SOT95P280X145-5N";"U1";"150mA, LOW-NOISE LDO VOLTAGE REGULATOR";"";"1016-1251-ND";".60";"";"SPX5205M5-L-3-3";"1831954";"23R9851";"SOT-23-5";"EXAR";
"5";"TPI";"TPI";"TPI_PAD";"+5V, GND, RESET, TPICLK, TPIDATA";"";"";"";"";"";"";"";"";"";"";
